,text,mbti
1,부러워 하지마세요 잃은건 말 안하고 번 것만 말해요,entj
2,진짜 좀 머리아프게 살기 싫어여 ,estp
3,그냥 인생 알차고 열심히 사는게 최고인거같아요 ㅎㅎ  ,istj
4,열심히 사는거 최고죠,infp
5,어쩔땐 태어나서 사는구나 이 생각도 했어여 ,estp
6,웃긴게 주식 잘하는 팔자도 결국 인생 손해인게.. 주식은 사람을 허황된 꿈만 꾸게만들어서 그래서 안좋더라고요,istj
7,투자 잔뜩해봤자 내돈이 아닌거시에요,isfj
8,뭐든 적당히 하는게 좋죠 근데 주식으로 잘 벌면 그런 마음은 들어간답니다 ^^,entj
9,꼭 부지런만 하다고 잘 사는건 아니더라고요,entj
10,돈만 생각하면 그런데 사람이 내공이라는게 생기잖아요 ㅋㅋ,isfj
11,안양지하상가는 늦은시간에 가면 분위기 좋네요,infp
13,아 스트레스풀이 인형 얼마든지 해드릴게요,isfj
14,혼술이나 까야지,istp
15,취미가 많아서 방 하나를 가득 채우는 중이에요 ,intp
16,전 깔끔한 사람이거나 현재를 즐길 줄 아는 사람들 보면 좀 설레긴 하더라고요,intj
17,전 항상 미래를 사는 사람이라……. ,intj
18,"지금 현재 이 느낌, 감각을 느낄 줄 아는 사람들 보면 멋있어요",intj
19,YOLO를 동경하시는군요,intp
21,현재를 사는사람이 이상형인거군요 한마디로,infj
22,음 근데 현재를 진짜 즐기기만 하는 느낌보단 만약 저랑 데이트를 하고 있다면 저말고 아무것도 안 보이는 사람이 있긴 하더라고요,intj
23,집중하는데 그 집중하는 현재에만 집중할 줄 아는 사람…..,intj
24,저도 그걸 많이 배웠어요,intj
25,카리나 말고 다른걸 보기가 쉽진 않죠,intp
26,써먹을 사람이 없네요,intj
27,피시방 갔다가 볼링치러갈까요 피시방 갔다가 드라이브갈까요,estp
28,둘다 너무너무너무너무 부러운데요,intj
29,저라면 사람이 많으면 볼링 그렇지 않으면 드라이브요,intj
30,집에 가시져 ㅋㅋ,infj
31,볼링 벙 열까요.. 볼링 치고 싶어요,intj
32,하루종일 집에 누워있어서 ㅠㅠ 나가고싶습니당,estp
33,일월에 한번 열어주시면 너무너무 감사드립니당,estp
34,사실 저도 볼링 못칩니다,intj
35,너무 멀어요 ㅋㅋ,infj
36,피씨방 이후에 몸을 풀러 드라이브를 추천드립니다,infp
37,피시방 갔다가 공원 가시져,infj
38,공원 추워요 !!,intj
39,남친썸남 없어서 혼자 제차로 드라이브 갑니다,estp
40,연애 이야기 보면 요즘 크리 세게 펀치 맞네요;; ㅋㅋ,infj
41,오늘도 찬바람을 맞으며 떨어져가는 나무를 보네요,infj
42,프리스타일 가사 쓰실줄 아시는분 ㅋㅋ,infj
43,근데 프리스타일 영상을 너무 많이봐서 사실상 리튼이라 넘어갈게여 ㅋㅋㅋㅋㅋㅋ,estj
44,리튼도 좋져 배우는거라서 더 좋져,infj
45,시간나실때 서출구 한번 보세여,estj
46,아 이거 봤어요 ㅋㅋ,infj
47,여러분 이찬혁 전시회 가실 분 있나요,intj
48,헉 너무 가고싶어요,intp
49,전시회는 취향이 아니라서 패스할게여,estj
50,영상 시작 3초만에 가야겠다는 생각이 들었어요,intp
51,영상으로 전부다 관람한느낌입네다,infp
52,배고파서 피자시켰어요,enfp
54,청피 맛있어요 개인적으로는 피자헛 도미노보다 좋아해요ㅎㅎ,entp
55,두둥-- 두둥-- ㅈ..저..저기...!! XX이에요 !!,enfp
56,근데 무슨일이든 다 힘들져.. ,estp
57,직장이 다 그렇차나여 ,estp
58,사장도 힘들죠.. 후,entj
59,그것도 힘들죠..,estp
60,진짜 백수하고싶네여 ,estp
61,백수도 힘들어요,entj
63,쉬운게 없네요... 후,entj
64,오랜만에 일이 여유가 좀 있네요 헤헤,entj
65,진짜 인생 편하게 살려면 젊을때 열심히 해야죠,estp
66,근데 보통 젊을 때 열심히 산 사람들은 늙어서도 열심히 살.. 더라고요,entj
67,아 슬픕니다..,estp
68,어제까지 바쁘셨죠,entj
69,늙어서 편하게 사려고 무난하게 하는게 공무원 아닌가요,istp
70,한국 공무원 복지가 나락가고 있어서 그렇지만요...,istp
71,친구보니까 공노비도 쉽지 않던데요,entj
72,일요일도 나와서 하고 끝없이 일만해요..,entj
73,제 친그는 검찰청에서 일하는데 때려치고 싶데요..,estp
74,검찰 사칭 장난전화가 많이 와서 그런가요?,entj
75,전 운명을 믿긴 하는데 느껴본 적은 없어요,intj
76,너가 봤을 때 나 뚱뚱한거 같냐?,esfp
77,너 정도면 나쁘지 않은데 왜?,enfj
78,내 주변에 5명의 뚱뚱한 사람을 알고 있는데 너는 그중에 4인분을 담당하고 있지,estp
