ISFP,너무 떨리는데?,,
INFP,아으 떨려 ㅎㅎㅎ,,
ISFP,무서워 사실…,,
ESFJ,살려줘,,
ENFP,뭐가 있어?,,
ESFP,안녕하세요,,
ESFJ,어 뭐야? 진실의 방으로?,,
ENFP,뭐야,,
ESFJ,진실의 방으로ㅋㅋ,,
ENFJ,에이 설마,,
ISFP,어 뭐야? 진실의 방으로?,,
ENFJ,여기 남자가 두 명 밖에 없는데,,
ENTP,어 이게 뭐야?,,
ENTJ,분위기가 좀 살짝 심오하다,,
INFJ,마피안가?,,
ENFP,커몽 커몽,,
ESFJ,카드가 많아,,
ENFP,많다고?,,
ESFJ,좀 떨리는 거 같아,,
ISFP,어 너무 떨린다,,
ISFJ,아니 화장실 가고 싶다니까,,
ISFP,진짜 화장실 가고 싶어 나,,
ESFJ,Day 3 trust 세 번째 미션 NOTICE 당신의 고민은 무엇인가요? 테이블 위에는 여러분들의 고민이 적힌 카드가 놓여있습니다. 그 고민에 대해 이야기해주세요,,
ISTP,세 시까지 한 장씩 고민을 오픈하고 그 고민에 대해서 이야기해보세요,,
ISFJ,근데 우리 고민을 어떻게 알아?,,
ENTJ,사전 인터뷰 때 얘기를 했었나?,,
ISTP,고민 얘기 안 했는데?,,
ENFJ,고민…,,
ENFP,하 고민이요...,,
ESFJ,고민이요?,,
ESFP,고민이요…,,
INFJ,고민이요?,,
INFP,고민…,,
ISFP,흠… 고민,,
ESTJ,음…,,
ENTP,ㅎㅎ,,
ESTP,어…,,
INTJ,하…,,
INTP,고민은…,,
ISTJ,지금 고민은…,,
ESTJ,고민이 없는 게 고민이에요 스트레스는 사람을 발전시킨다고 생각해요 하지만 전 그게 없어요,,
ISTJ,어 비슷해 고민이 없어요,,
ENTJ,이거 둘 중에 하나가 제 거예요,,
ESTJ,아 진짜 맞아요?,,
ENTJ,네 맞긴 맞아요 고민이 없어요 또 누가 얘기하셨어요?,,
ISTJ,여기가 두 개가 고민이 없어요,,
ESTJ,고민이 없어요 고민이 없는 게 걱정이에요,,
ENTJ,근데 이 말도 내가 할 스타일이라서,,
INTJ,그거를 제가 했어요,,
ENTJ,이거를 니가 한 거지? 그러니까 나는 여기까지 그러니까 똑같아 그러니까 소름.. 소름 돋는다 진짜,,
ENFP,"어 너무 시작부터 너무 무거운 얘기를 했네 내가?
인간은 왜 존재하는 걸까... 약간... 그냥 존재의 유무에 대해서 생각을 많이…
그러니까 좀 쓸데없는 상상이긴 한데 그냥 '어 인간은 왜 존재하는 걸까?'
어쩌다가 인간이란 존재가 나타나게 됐는지 어쩌다가 이렇게까지 발전을 하게 됐는지
옛날에는... 어 뭔가 그냥 계속 꼬리를 물고 물고 갔던 것 같아 생각이... ",,
ESTP,저는 일타강사가 되고 싶은데 역경들을 이겨낼 수 있을지 고민이에요,,
ISTP,사실 고민 아니잖아,,
ENTP,맞아 사실 할 수 있을 거 알잖아,,
ISTP,그냥 스스로 이겨낼 수 있다고 생각 하잖아,,
