,text,mbti,ie,ns,ft,pj
1,부러워 하지마세요 잃은건 말 안하고 번 것만 말해요,entj,e,n,t,j
2,진짜 좀 머리아프게 살기 싫어여 ,estp,e,s,t,p
3,그냥 인생 알차고 열심히 사는게 최고인거같아요 ㅎㅎ  ,istj,i,s,t,j
4,열심히 사는거 최고죠,infp,i,n,f,p
5,어쩔땐 태어나서 사는구나 이 생각도 했어여 ,estp,e,s,t,p
6,웃긴게 주식 잘하는 팔자도 결국 인생 손해인게.. 주식은 사람을 허황된 꿈만 꾸게만들어서 그래서 안좋더라고요,istj,i,s,t,j
7,투자 잔뜩해봤자 내돈이 아닌거시에요,isfj,i,s,f,j
8,뭐든 적당히 하는게 좋죠 근데 주식으로 잘 벌면 그런 마음은 들어간답니다 ^^,entj,e,n,t,j
9,꼭 부지런만 하다고 잘 사는건 아니더라고요,entj,e,n,t,j
10,돈만 생각하면 그런데 사람이 내공이라는게 생기잖아요 ㅋㅋ,isfj,i,s,f,j
11,안양지하상가는 늦은시간에 가면 분위기 좋네요,infp,i,n,f,p
13,아 스트레스풀이 인형 얼마든지 해드릴게요,isfj,i,s,f,j
14,혼술이나 까야지,istp,i,s,t,p
15,취미가 많아서 방 하나를 가득 채우는 중이에요 ,intp,i,n,t,p
16,전 깔끔한 사람이거나 현재를 즐길 줄 아는 사람들 보면 좀 설레긴 하더라고요,intj,i,n,t,j
17,전 항상 미래를 사는 사람이라……. ,intj,i,n,t,j
18,"지금 현재 이 느낌, 감각을 느낄 줄 아는 사람들 보면 멋있어요",intj,i,n,t,j
19,YOLO를 동경하시는군요,intp,i,n,t,p
21,현재를 사는사람이 이상형인거군요 한마디로,infj,i,n,f,j
22,음 근데 현재를 진짜 즐기기만 하는 느낌보단 만약 저랑 데이트를 하고 있다면 저말고 아무것도 안 보이는 사람이 있긴 하더라고요,intj,i,n,t,j
23,집중하는데 그 집중하는 현재에만 집중할 줄 아는 사람…..,intj,i,n,t,j
24,저도 그걸 많이 배웠어요,intj,i,n,t,j
25,카리나 말고 다른걸 보기가 쉽진 않죠,intp,i,n,t,p
26,써먹을 사람이 없네요,intj,i,n,t,j
27,피시방 갔다가 볼링치러갈까요 피시방 갔다가 드라이브갈까요,estp,e,s,t,p
28,둘다 너무너무너무너무 부러운데요,intj,i,n,t,j
29,저라면 사람이 많으면 볼링 그렇지 않으면 드라이브요,intj,i,n,t,j
30,집에 가시져 ㅋㅋ,infj,i,n,f,j
