MBTI,대사
,N방 INtuition : 직관형
ISFJ,저도 울기는 했는데 근데
ENTJ,엉? 울기는 했다고?
ISFJ,네 근데 그분들 때문에 운건 아니에요
ENFP,진짜 울었다고?
ISFJ,네
INTJ,저도 울었어요 근데 괜찮아요
ISFJ,근데 토론하다가 운 건 아니에요
ENFP,왜 왜 울었어요?
ENTJ,개인기 하기 싫어서 짜증 나서?
ISFJ,아니요
ENFJ,어 아니에요 아니에요
ISFJ,죄송해요 아이고 어떡해
ISFJ,너무 슬퍼
ENTJ,천천히 받았던 잔잔했던 물결의 스트레스가 쓰나미처럼 온 거니깐 당연히 무너질 수 있다고 생각하고 근데 이해는 하지만 공감하지는 못한다
ENFJ,신경을 쓰긴 했지만 그래서 주제를 돌렸죠 같이 계신 분들이랑 오히려 그럴 때 말을 계속하면 불편해하시는 것 같아서
INTP,사실 저로서는 일단 궁금증이 사실 크긴 했죠 그러니깐 어떤 부분이 힘든지 구체적으로 말을 안 해주시고 좀 많이 슬퍼하셨는데 좀 위로를 못 해주겠더라고요 그래서 그냥 그렇다고 무작정 위로는 못 하겠고
INFP,어떤 상황인지 모르는 상황이라서 되게 미안하기도 하고 안 슬펐으면 좋겠다고 생각했어요
INTJ,일단 당연히 뭐 걱정이 되고 이런 건 있지만 어떻게 할 수 있는 부분이 아닌데 거기에 너무 마음을 쓰시는 게 보여서...
INFJ,저도 근데 그런 걱정을 여기 오기 전부터 계속 했었던 터라 그게 좀 많이 공감이 되더라고요 그래서 마음도 좀 아프고
ENFP,저도 가끔은 진짜 정말 아무 이유 없이 여러 이유들 때문에 울고 싶을 때가 있었던 적이 있어서 찾아갈까도 고민했는데 그것도 부담스러워하실 것 같아가지고
ENFP,어뜩행
INTP,왜 우는 걸까?
ENFP,아 모르겠어
INTJ,힘들 수 있어요
ENFP,힘들어서?
ENFJ,환경 자체가 조금 부담이 되는 거 같아요
ENFP,낯설어서? 어 그럴 수 있지~ 
ENFJ,너무 폐쇄적이기도 하잖아요 이런 부분이 안 맞을 수도 있는 거니까
INFJ,새로운 사람들이 그러고 또 저거 때문에 투표 때문에 좀 많이 스트레스 받는 것 같아요 말했던 것 같아
ENFP,아~진짜?
ENFJ,투표 어떻게 받았는데?
INFJ,아침에 그러니깐 아무 표도 없었는데 그냥 되게 부담감이 좀 큰가 봐요
ENFJ,아..
ENTJ,누군가를 선택하고 싫어하는 게
ENFP,그게 미안한 걸 수도 있겠다
ENTJ,오~ 그럴 수 있겠다
ENFJ,그래서 다 이입이 감정이입이 되는 거구나
INFJ,자기가 호감도.. 너무 존재감이 없었나? 이런 말도 많이 했었고
INTJ,본인이 약간 지목을 안 받는 거에 대한 그런 두려움도 되게 크신 것 같아요
INFJ,불호를 받으면 어떡하지라는 마음도 심하시더라고요
ENFJ,그럴 수 있겠다
ENFP,마음 너무 여리다
ENTJ,그럴 수 있지만 이게 다 훈련이라고 생각해
ENFP,오빠 이해 안 가잖아 솔직히
ENFJ,강력하다 
INFJ,진짜 빡세다
ENTJ,아니 이해는 되지 이해는 돼
INTJ,이해는 돼
ISTP,이거는 E랑 I랑 그렇게 막 그게 없나봐
ESTJ,끝났다
,2시간 전 장기자랑 미션 후 S방 Sensing : 감각형
,세 번째 미션이 끝났습니다 다음 초인종이 울릴 때까지 휴식시간을 갖겠습니다
ISFJ,아휴~ 힘들어 지쳤어ㅋㅋ
ISFP,나 진 다 빠졌어
ISFJ,아 진짜? 너무 귀여워요 나 진짜 죽을 뻔했어 귀여워서
ISFP,사라지고 싶어
ISFJ,어떻게 그럴 수가 있어요?
ISFP,나 지금 사라지고 싶어
ISFJ,아니야 진짜 팬 엄청 많아질 거 같아
ISFP,아니야 나...
ISFJ,"미쳤어 다 엄마 미소, 아빠 미소였다고"
ISFP,엄마 보고 싶다
ISFJ,진짜 나 근데 너무.. 진짜 집에 가고 싶어 생각보다 힘드네요 근데 우리를 힘들게 한 건 아닌데 여기서
ISFP,몸이 힘든 것도 아니고 마음도 그렇게 막 크게 힘든 건 아닌데
ISFJ,어 맞아! 그냥 이 단절되어 있다는 그 사실과 낯선 사람들이랑 있고 이런 게 좀 적응이 안 되고 외롭다 해야 되나? 알던 사람들이랑만 계속 어울리던 버릇이 있으니까 낯선 사람이랑 있는 거 자체가
ISFP,언닌 여기 나가서 제일 먼저 핸드폰 빼고 뭘 하고 싶어요?
ISFJ,강아지 만나기 진짜 아까부터 계속 그리웠어
ISFP,아~
ISFJ,소중함을 느꼈어 눈물 날 것 같아
ISFJ,죄송해요
ISFP,아니야 괜찮아 진짜 괜찮아요 진짜 괜찮아요 진짜
ISFJ,그래도 미안 내가 언니인데
ISFP,아니야 뭐가 중요해 그게 나이가 뭔 상관이야
,N방 INtuition : 직관형
ISFJ,잠깐 혼자 있을게요 고마워요
INFP,괜찮으니까 천천히 와도 되니까 너무 부담 갖고 그러지 않아도 돼요
,S방 Sensing : 감각형
ISTP,T VS F로 말싸움하기
ESFP,아~싫어
ISFP,말싸움 못해
ESTJ,진짜 F 울릴 수 있지 않을까요?
ISTP,단체로!
ISFP,싫어
ESTP,울 거 같아
ESTJ,진짜 울릴 수 있을 것 같아요 그러니까 막 뭐라 하는 게 아니라 그냥 하다 보면 눈물 글썽여질 것 같아
ISTP,그럼 T 있는 방에 F 한 명 들어와서 토론회 하기
ENTP,아! 8 대 1로?
ISTP,네!
ESTJ,그게 왕따 아닌가요?
ESFJ,무섭다
ISTJ,F 일곱 명에 T 한 명 가가지고 T 한 명이 F 다...
ISTP,말벌이랑 꿀벌 아니야
ESTJ,말벌! 비유 적절하다 진짜
ISTJ,그게 재밌죠
ESFP,일단 F 같은 경우는 말을 하고 싶은 게 있어도 이게 말발이 딸려서 우는 게 아니라 감정이 북받치다 보면은
ESFJ,오 맞아
ISFP,이건 참아야 해 일단
ESFP,이거 때문에 말을 못 하는데 T는 그런 북받쳐오는 슬픔.. 슬픈 감정? 울 것 같은 감정 없어요?
ISTJ,있는데 내 감정보다 사람들을 이해시키고
ESTP,나 있어
ISTJ,이걸 설명하는 게 더 먼저예요
ESTP,맞아 맞아 그렇지
ENTP,근데 이게 어느 순간 이게 되게 사람이 차분해지면서 '저걸 조져야겠다'라는 생각으로 내가 손해 보는 게 싫거든
ISTJ,논리적으로 조져야겠다
ESTJ,화가 난 게 아니라 진짜 들어줄 건데
ISTJ,어 맞아요 진짜 들어줄 건데
ESTJ,진짜 울지 말고 하란 말인데 이제 보통 느끼기엔 화내고 있는...
,# 상황극
ESFP,"여자친구, 남자친구인데"
ESTJ,어..싫을 것 같아 벌써 싫어 잠시만 여자친구가 왜 저래
,상황 1) 여자친구가 남자친구 집에 놀러 와서 바로 침대에 누웠다. 감독 : ESFP 여자친구 역 : ISTP 남자친구 역 : ESTJ
ESFP,여자친구가 집에 놀러 왔는데 딱 들어오자마자 양말도 안 벗고 그냥 그대로 침대에 누웠어
ESTJ,누웠어? 이미?
ESFP,어 이제 그 다음 상황
ESTJ,씻고 자
ENTP,근데 나도 그거 너무 싫어
ESTJ,"씻고, 씻고 자~"
ISTP,아~ 피곤해
ESTJ,아니 씻고 와~
ISTP,피곤해 하 X발 피곤해
,상황 2) 11시에 잔다고 한 남자친구가 새벽 5시 반에 잘못 카톡을 함 감독 : ENTP 여자친구 역 : ESFP 남자친구 역 : ISTP
ENTP,"내가 이제 상황을 정확히 줄게 ""11시에 나 이제 잘게"" 그랬는데 새벽 5시 반에 취해가지고 ""나 이제 집 들어가"" 잘못 카톡을 해놨어 그런거야"
ESTJ,보낸 건 맞아? 아니면 딴 여자한테 보낸 걸 잘못 보낸 거야?
ENTP,아니야 아니야 여기에다가 보낸 거야
ESTJ,잘못 보낸 것도 아니네
ENTP,"완전 취해가지고 ""아이 그래도 여자친구한테 연락은 해야지"""
ESTJ,다음 날 아침에 이제 조져
ESFP,다음 날 아침 나 한 이제...
ENTP,다음 날 오전에 만나기로 했어
